Trial,Parameters,Value
0,"{'learning_rate': 0.00043862545000253404, 'weight_decay': 3.079221321042443e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1332469706632653
1,"{'learning_rate': 1.3956563493839514e-05, 'weight_decay': 2.641336936571853e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.010590720663265305
2,"{'learning_rate': 2.084664894678678e-05, 'weight_decay': 0.00016765686840058259, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.010530931122448978
3,"{'learning_rate': 0.002466029595678374, 'weight_decay': 1.3378799225556195e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17580516581632652
4,"{'learning_rate': 1.983781086904839e-05, 'weight_decay': 6.935237798563178e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.012153220663265307
5,"{'learning_rate': 0.00799356059148522, 'weight_decay': 8.069029054935836e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.01783123405612245
6,"{'learning_rate': 0.0027570601669594883, 'weight_decay': 4.898721197158676e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.19503946109693876
7,"{'learning_rate': 0.000278827312378075, 'weight_decay': 0.0001472017947540161, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1150928730867347
8,"{'learning_rate': 0.00010207859769986202, 'weight_decay': 9.557584112418295e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.09015664859693877
9,"{'learning_rate': 0.0010302898665868613, 'weight_decay': 0.00023286839451708695, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.008751195790816327
10,"{'learning_rate': 0.01573100036296021, 'weight_decay': 0.0009012836249824356, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1606704400510204
11,"{'learning_rate': 0.003135600917242048, 'weight_decay': 1.1002571204911183e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18083147321428572
12,"{'learning_rate': 0.07498098252409238, 'weight_decay': 1.0338542810721821e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.04462492028061225
13,"{'learning_rate': 0.005312379564238676, 'weight_decay': 3.346255023218254e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18113042091836734
14,"{'learning_rate': 0.028630209879182956, 'weight_decay': 3.612740916144663e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.08660913584183674
15,"{'learning_rate': 0.003852075205976301, 'weight_decay': 4.557203693380998e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18990951849489796
16,"{'learning_rate': 0.0013889913339614943, 'weight_decay': 0.0003882856620716285, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1712611607142857
17,"{'learning_rate': 0.000348134467964326, 'weight_decay': 5.010712620458326e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.12634327168367349
18,"{'learning_rate': 0.015285580281663907, 'weight_decay': 2.1072369436194663e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1429149394132653
19,"{'learning_rate': 6.817977119394614e-05, 'weight_decay': 5.537799549394457e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.0768913424744898
0,"{'learning_rate': 0.018140627742110307, 'weight_decay': 0.00015346949927668878, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.12962571747448978
1,"{'learning_rate': 0.09635819075827358, 'weight_decay': 3.860419579815171e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.03920001594387755
2,"{'learning_rate': 1.1327357254552574e-05, 'weight_decay': 1.707493854818792e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.009869260204081633
3,"{'learning_rate': 0.029867296798030192, 'weight_decay': 1.1943410121105222e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.08054049744897959
