Trial 0 finished with value: 0.33981186224489796 and parameters: {'learning_rate': 0.0001503621128508432, 'weight_decay': 0.00010349626822049051, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 0 with value: 0.33981186224489796.
Trial 1 finished with value: 0.26633649553571426 and parameters: {'learning_rate': 3.252592823579666e-05, 'weight_decay': 2.5531679767766077e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 0 with value: 0.33981186224489796.
Trial 2 finished with value: 0.4399274553571429 and parameters: {'learning_rate': 0.0007558554488467092, 'weight_decay': 1.368874937956083e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 2 with value: 0.4399274553571429.
Trial 3 finished with value: 0.3763891103316327 and parameters: {'learning_rate': 0.024952133548138074, 'weight_decay': 1.3976156193631703e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 2 with value: 0.4399274553571429.
Trial 4 finished with value: 0.36849091198979594 and parameters: {'learning_rate': 0.00020084968999696014, 'weight_decay': 0.00013884588961834298, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 2 with value: 0.4399274553571429.
Trial 5 finished with value: 0.12411511479591837 and parameters: {'learning_rate': 0.005584555134674522, 'weight_decay': 0.00023175146136624093, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 2 with value: 0.4399274553571429.
Trial 6 finished with value: 0.2197325414540816 and parameters: {'learning_rate': 0.024696308663491238, 'weight_decay': 0.0004499099414527432, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 2 with value: 0.4399274553571429.
Trial 7 finished with value: 0.46127431441326533 and parameters: {'learning_rate': 0.00446401788019052, 'weight_decay': 1.9252505885917055e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 7 with value: 0.46127431441326533.
Trial 8 finished with value: 0.2928950095663265 and parameters: {'learning_rate': 0.06806124543238688, 'weight_decay': 0.00022788996025543352, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 7 with value: 0.46127431441326533.
Trial 9 finished with value: 0.008246970663265307 and parameters: {'learning_rate': 0.00022869879989318302, 'weight_decay': 3.4495226854150564e-05, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 7 with value: 0.46127431441326533.
Trial 10 finished with value: 0.4820192920918368 and parameters: {'learning_rate': 0.0035048274683532345, 'weight_decay': 4.296574620460814e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 11 finished with value: 0.47379225127551017 and parameters: {'learning_rate': 0.0027379199790737957, 'weight_decay': 5.0277035948929746e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 12 finished with value: 0.46578842474489796 and parameters: {'learning_rate': 0.004787962233321079, 'weight_decay': 4.716130125745891e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 13 finished with value: 0.44230110012755103 and parameters: {'learning_rate': 0.0008647387116105655, 'weight_decay': 5.436372391187728e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 14 finished with value: 0.4709402901785714 and parameters: {'learning_rate': 0.0033036961402192378, 'weight_decay': 6.594300149604264e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 15 finished with value: 0.42220184948979594 and parameters: {'learning_rate': 0.01366622777365201, 'weight_decay': 0.0006774284854092818, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 16 finished with value: 0.4606405452806122 and parameters: {'learning_rate': 0.001466785295495606, 'weight_decay': 8.222563624171997e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 17 finished with value: 0.11665537308673471 and parameters: {'learning_rate': 1.144589024706509e-05, 'weight_decay': 2.8119350537770217e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 18 finished with value: 0.4528140943877551 and parameters: {'learning_rate': 0.0014140234895370985, 'weight_decay': 0.00016315711066264478, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.
Trial 19 finished with value: 0.33725685586734694 and parameters: {'learning_rate': 0.08179227527754072, 'weight_decay': 4.2693188027009475e-05, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 10 with value: 0.4820192920918368.

Best Parameters: {'learning_rate': 0.0035048274683532345, 'weight_decay': 4.296574620460814e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
Best Value: 0.4820192920918368
