[Trial 0] Value: 0.44429009885204085, Parameters: {'learning_rate': 0.0012392150465113103, 'weight_decay': 0.00012746304823574919, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 1] Value: 0.35804966517857145, Parameters: {'learning_rate': 0.0002218297141200606, 'weight_decay': 2.274182894290814e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 2] Value: 0.01570671237244898, Parameters: {'learning_rate': 1.6869680900337697e-05, 'weight_decay': 0.00015571549892305593, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 3] Value: 0.22592673788265305, Parameters: {'learning_rate': 6.660791463335891e-05, 'weight_decay': 0.00013138465852671787, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 4] Value: 0.0, Parameters: {'learning_rate': 0.0001023972189912158, 'weight_decay': 0.0001888230494135904, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 5] Value: 0.27170758928571426, Parameters: {'learning_rate': 0.05324314944973986, 'weight_decay': 0.00018854383094397796, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 6] Value: 0.207308274872449, Parameters: {'learning_rate': 3.564714582666725e-05, 'weight_decay': 0.00011975280838085224, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 7] Value: 0.2952985491071428, Parameters: {'learning_rate': 2.5891323260492816e-05, 'weight_decay': 3.268978133700935e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 8] Value: 0.02143654336734694, Parameters: {'learning_rate': 1.979174033668348e-05, 'weight_decay': 1.7598745433789372e-05, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}
[Trial 9] Value: 0.2410176179846939, Parameters: {'learning_rate': 0.0036498064207036596, 'weight_decay': 0.00015712611455803594, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 10] Value: 0.4616928411989796, Parameters: {'learning_rate': 0.0034980293367581333, 'weight_decay': 0.0005718500835354256, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 11] Value: 0.4641581632653061, Parameters: {'learning_rate': 0.0021880677075558036, 'weight_decay': 0.0009087022246191028, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 12] Value: 0.14751275510204082, Parameters: {'learning_rate': 0.007738207643417909, 'weight_decay': 0.00099624848427061, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 13] Value: 0.10010762117346939, Parameters: {'learning_rate': 0.023078319412617735, 'weight_decay': 0.0009061889151052457, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 14] Value: 0.46126434948979594, Parameters: {'learning_rate': 0.0007485778082154783, 'weight_decay': 0.0004541668978718186, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 15] Value: 0.44241470025510204, Parameters: {'learning_rate': 0.004106118483573139, 'weight_decay': 0.00042547224573433466, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 16] Value: 0.4629763233418368, Parameters: {'learning_rate': 0.0006941569181727131, 'weight_decay': 0.0004273678175294766, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 17] Value: 0.45065369897959184, Parameters: {'learning_rate': 0.00040531073706136765, 'weight_decay': 5.959661017468756e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 18] Value: 0.4760243941326531, Parameters: {'learning_rate': 0.0013197585616449151, 'weight_decay': 0.0002504715692172881, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
[Trial 19] Value: 0.19323979591836735, Parameters: {'learning_rate': 0.015056954350216726, 'weight_decay': 0.00027793667759171343, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
