Trial,Parameters,Value
0,"{'learning_rate': 0.0003629547368449779, 'weight_decay': 8.257171994007504e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.01695232780612245
1,"{'learning_rate': 0.003923753406588134, 'weight_decay': 1.8436158412061505e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.16716557716836736
2,"{'learning_rate': 2.342750116552075e-05, 'weight_decay': 1.8856210322038523e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.10665656887755101
3,"{'learning_rate': 0.005999481045490675, 'weight_decay': 0.00013335021153643823, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.05951052295918367
4,"{'learning_rate': 0.0001745378870988, 'weight_decay': 8.713638426794228e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.010845822704081633
5,"{'learning_rate': 0.007836015413318095, 'weight_decay': 2.0916470782993465e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.12809510522959183
6,"{'learning_rate': 0.007499880606117194, 'weight_decay': 0.0005434501324891635, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.06426578443877551
7,"{'learning_rate': 0.0007403372333615391, 'weight_decay': 1.2146391420638752e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18649354272959184
8,"{'learning_rate': 2.6338154710324288e-05, 'weight_decay': 0.000193912921454243, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.11532007334183673
9,"{'learning_rate': 0.0005409464575807597, 'weight_decay': 1.3741712164525063e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.193148118622449
10,"{'learning_rate': 0.07442415385290564, 'weight_decay': 4.2680654485359196e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.013384885204081631
11,"{'learning_rate': 0.0007257623068531345, 'weight_decay': 1.0484873723777019e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18641183035714287
12,"{'learning_rate': 0.00026344425022818604, 'weight_decay': 1.0577352568717442e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17377032844387755
13,"{'learning_rate': 7.105905691319432e-05, 'weight_decay': 4.005157699029174e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1374461894132653
14,"{'learning_rate': 0.0016360648200374269, 'weight_decay': 3.861907629600319e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.19127072704081632
15,"{'learning_rate': 0.0017464002901475557, 'weight_decay': 4.42288444744336e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19236686862244898
16,"{'learning_rate': 0.04448584215340077, 'weight_decay': 0.0002798403537543025, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.011079001913265305
17,"{'learning_rate': 0.00197566536967812, 'weight_decay': 5.598015570491265e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1908641581632653
18,"{'learning_rate': 0.0185388492254783, 'weight_decay': 2.8910860558464233e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.06419802295918367
19,"{'learning_rate': 0.00010801466883553017, 'weight_decay': 0.0007226854362667415, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1465102838010204
0,"{'learning_rate': 0.003240833266422206, 'weight_decay': 0.0002941484754257408, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17443797831632651
1,"{'learning_rate': 0.0017637758365124595, 'weight_decay': 0.00029604816578083755, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18968630420918367
2,"{'learning_rate': 4.9147284167045975e-05, 'weight_decay': 0.0004089639821744923, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.01160514987244898
3,"{'learning_rate': 0.07555034002453732, 'weight_decay': 2.3914931758480726e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.011800462372448979
4,"{'learning_rate': 0.00041828548765542853, 'weight_decay': 5.293412748031628e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19013073979591838
5,"{'learning_rate': 0.0002036822170916998, 'weight_decay': 0.00018584586164120114, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1646942761479592
6,"{'learning_rate': 1.0880812400687459e-05, 'weight_decay': 4.416572921698057e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.010823899872448979
7,"{'learning_rate': 0.009111593545610452, 'weight_decay': 0.00011176559520080525, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.12450374681122449
8,"{'learning_rate': 0.07430743676544237, 'weight_decay': 4.101245377294164e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.011860251913265306
9,"{'learning_rate': 1.4655323414342666e-05, 'weight_decay': 0.0001857490573354113, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.09840959821428572
10,"{'learning_rate': 0.0002819997432652961, 'weight_decay': 1.1930326486900882e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17534080038265304
11,"{'learning_rate': 0.0010153983036771134, 'weight_decay': 0.0007113980983752174, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19183474170918366
12,"{'learning_rate': 0.00042332747633391137, 'weight_decay': 0.0009211274811532452, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1845244738520408
13,"{'learning_rate': 0.009474412078270015, 'weight_decay': 0.0009180027427815561, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.0958705357142857
14,"{'learning_rate': 0.0008551359553127198, 'weight_decay': 6.195037504293779e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19789540816326529
15,"{'learning_rate': 6.63234345975688e-05, 'weight_decay': 8.560949240516317e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.01237842793367347
16,"{'learning_rate': 0.004808857120866888, 'weight_decay': 2.039227594075777e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16337093431122449
17,"{'learning_rate': 0.0009838984189166286, 'weight_decay': 0.0005357808522380311, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19361248405612247
18,"{'learning_rate': 0.02446140099169199, 'weight_decay': 9.159758891165791e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.10073142538265305
19,"{'learning_rate': 8.28668958560414e-05, 'weight_decay': 0.00047902346622074454, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1428252551020408
20,"{'learning_rate': 0.0009242327876514748, 'weight_decay': 0.00017066766102647731, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1988799426020408
21,"{'learning_rate': 0.0010402151357021682, 'weight_decay': 0.00016263860124869506, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.20032286352040818
22,"{'learning_rate': 0.0008746166428164654, 'weight_decay': 0.00014838294988213743, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19470463966836735
23,"{'learning_rate': 0.0022303995124470653, 'weight_decay': 6.992838624819217e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1813934948979592
