
Trial 0 finished with value: 0.19485610650510204 and parameters: {'learning_rate': 0.08737625405762814, 'weight_decay': 0.00037883676574537533, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 0 with value: 0.19485610650510204.
Trial 1 finished with value: 0.20017936862244898 and parameters: {'learning_rate': 0.0004798373866875476, 'weight_decay': 0.0001421414035004126, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 1 with value: 0.20017936862244898.
Trial 2 finished with value: 0.2698441485969388 and parameters: {'learning_rate': 0.00104942676719524, 'weight_decay': 0.00010797755111634222, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 2 with value: 0.2698441485969388.
Trial 3 finished with value: 0.31863839285714285 and parameters: {'learning_rate': 0.02483554642989214, 'weight_decay': 3.229208381954555e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 3 with value: 0.31863839285714285.
Trial 4 finished with value: 0.2418427136479592 and parameters: {'learning_rate': 0.000991832101798603, 'weight_decay': 0.0002552930813794211, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 3 with value: 0.31863839285714285.
Trial 5 finished with value: 0.4234095982142857 and parameters: {'learning_rate': 9.706686638425585e-05, 'weight_decay': 0.0006244728413511775, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 5 with value: 0.4234095982142857.
Trial 6 finished with value: 0.4111965880102041 and parameters: {'learning_rate': 7.962412495402439e-05, 'weight_decay': 2.4637822310707887e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 5 with value: 0.4234095982142857.
Trial 7 finished with value: 0.4420300542091836 and parameters: {'learning_rate': 0.00019618737760018358, 'weight_decay': 1.986336957971292e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 7 with value: 0.4420300542091836.
Trial 8 finished with value: 0.45241749043367346 and parameters: {'learning_rate': 0.0019802775820675317, 'weight_decay': 8.387504909423564e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 9 finished with value: 0.45036471619897955 and parameters: {'learning_rate': 0.0022679333321774975, 'weight_decay': 2.2469868509823502e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 10 finished with value: 0.3422472895408163 and parameters: {'learning_rate': 1.1676976935547763e-05, 'weight_decay': 6.506382620358546e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 11 finished with value: 0.42707071109693884 and parameters: {'learning_rate': 0.005066341661546633, 'weight_decay': 1.0667407795354959e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 12 finished with value: 0.4376813616071429 and parameters: {'learning_rate': 0.0036334936378257937, 'weight_decay': 4.68697570199265e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 13 finished with value: 0.41381935586734697 and parameters: {'learning_rate': 0.006419934454638829, 'weight_decay': 1.4943802581250125e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 14 finished with value: 0.3718132174744898 and parameters: {'learning_rate': 0.015045033188046841, 'weight_decay': 6.251683803621897e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 15 finished with value: 0.43991151147959184 and parameters: {'learning_rate': 0.0018869547151479918, 'weight_decay': 0.00017150173131331276, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 16 finished with value: 0.44721181441326535 and parameters: {'learning_rate': 0.00034783354502856793, 'weight_decay': 4.080521579386858e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 17 finished with value: 0.34213169642857144 and parameters: {'learning_rate': 0.02124720351838784, 'weight_decay': 7.888164902422074e-05, 'optimizer': 'AdamW', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 18 finished with value: 0.37495814732142857 and parameters: {'learning_rate': 3.275768775107553e-05, 'weight_decay': 0.0007439087150662992, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': False, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.
Trial 19 finished with value: 0.2985610650510204 and parameters: {'learning_rate': 0.0020554219036645256, 'weight_decay': 1.0886615111802494e-05, 'optimizer': 'SGD', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}. Best is trial 8 with value: 0.45241749043367346.

Best Parameters: {'learning_rate': 0.0019802775820675317, 'weight_decay': 8.387504909423564e-05, 'optimizer': 'Adam', 'epochs': 25, 'xavier_init': True, 'batch_size': 1024}
Best Value: 0.45241749043367346
