Trial,Parameters,Value
0,"{'learning_rate': 5.701064400077744e-05, 'weight_decay': 7.888269503997056e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.14820033482142858
1,"{'learning_rate': 0.001093287413774847, 'weight_decay': 0.0004454866716458595, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.29899752869897955
2,"{'learning_rate': 0.0006783493175024118, 'weight_decay': 4.5782708585407184e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.2889130261479592
3,"{'learning_rate': 4.314042205593687e-05, 'weight_decay': 0.0005925545147663499, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.011154735331632654
4,"{'learning_rate': 0.00031715341031209363, 'weight_decay': 2.800003420072289e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.015720663265306124
5,"{'learning_rate': 5.019662328109388e-05, 'weight_decay': 3.0473420093589958e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17110371492346937
6,"{'learning_rate': 0.004547614828341576, 'weight_decay': 0.000753308889665828, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3052734375
7,"{'learning_rate': 0.014123920796284961, 'weight_decay': 5.708284476223159e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.2079360650510204
8,"{'learning_rate': 4.9759794878107457e-05, 'weight_decay': 0.00027474767864025, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17328204719387755
9,"{'learning_rate': 0.0002271007527506994, 'weight_decay': 0.0001949883336971262, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.2683414381377551
10,"{'learning_rate': 0.06955109273136247, 'weight_decay': 1.3143356105141844e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.009885204081632654
11,"{'learning_rate': 0.0030133900643629433, 'weight_decay': 0.0009329677964563501, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.3074756855867347
12,"{'learning_rate': 0.006282811965670493, 'weight_decay': 0.0008206156860196246, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.2877750318877551
13,"{'learning_rate': 0.0042443843065694846, 'weight_decay': 0.00017209070813172588, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.3126434948979592
14,"{'learning_rate': 0.028029551667089307, 'weight_decay': 0.0001371788225074245, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.01012436224489796
15,"{'learning_rate': 0.002991981969029113, 'weight_decay': 0.0002964259650766161, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.2997528698979592
16,"{'learning_rate': 0.0017612262233799453, 'weight_decay': 0.00012117111473472668, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.06675900829081632
17,"{'learning_rate': 0.01451775310481129, 'weight_decay': 0.00038069059749580353, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.20887077487244898
18,"{'learning_rate': 1.3550050915150028e-05, 'weight_decay': 0.0009592364408075127, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.0946029974489796
19,"{'learning_rate': 0.06107304190756341, 'weight_decay': 0.00019417917779400272, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18278260522959183
20,"{'learning_rate': 0.00041588897805358, 'weight_decay': 1.2194297427137727e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.2555125956632653
21,"{'learning_rate': 0.003873954180516454, 'weight_decay': 0.0006145149025278586, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.3063835299744898
22,"{'learning_rate': 0.010124137718463405, 'weight_decay': 0.000541084326098387, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.25040457589285714
23,"{'learning_rate': 0.0021742377518419666, 'weight_decay': 0.0009938587390264937, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.304703443877551
24,"{'learning_rate': 0.005721162421565316, 'weight_decay': 0.0003253897839900462, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.2905731823979592
25,"{'learning_rate': 0.026193122634699938, 'weight_decay': 0.0006207938463105714, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.009974888392857142
26,"{'learning_rate': 0.0010362801351877318, 'weight_decay': 0.00022859070580660498, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.28959263392857143
27,"{'learning_rate': 0.0030032644731434886, 'weight_decay': 0.000414258582679303, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.28579001913265306
28,"{'learning_rate': 0.029544211275671372, 'weight_decay': 8.763730983041237e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.009974888392857142
29,"{'learning_rate': 0.00018323203031954467, 'weight_decay': 0.0005046576207393356, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.014488998724489796
30,"{'learning_rate': 0.007739952917201549, 'weight_decay': 0.0001662316202829564, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.2766721141581633
31,"{'learning_rate': 0.004160622124945045, 'weight_decay': 0.0007200069744918553, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.2941266741071428
32,"{'learning_rate': 0.0016099046297941672, 'weight_decay': 0.0007237774452217817, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3139728156887755
33,"{'learning_rate': 0.0014174338525974617, 'weight_decay': 0.00039714557818798046, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.318831712372449
34,"{'learning_rate': 0.0014615321957031646, 'weight_decay': 0.00043320086458484725, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.32013911033163267
35,"{'learning_rate': 0.0006474694579399617, 'weight_decay': 0.00042669894672031985, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3017657844387755
36,"{'learning_rate': 0.001645958987890968, 'weight_decay': 0.0002639043036985972, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.30909598214285716
37,"{'learning_rate': 0.0006442826390219928, 'weight_decay': 6.51154433113854e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.033687420280612244
38,"{'learning_rate': 0.00011273750456471014, 'weight_decay': 0.0003910090041302786, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.22018295599489796
39,"{'learning_rate': 0.0010212407237803044, 'weight_decay': 0.00010411299404287618, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3017677774234694
40,"{'learning_rate': 0.00042936481207607604, 'weight_decay': 0.00016035964816502187, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.285465162627551
41,"{'learning_rate': 0.0012986442931894305, 'weight_decay': 0.000246614687196286, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3110251913265306
42,"{'learning_rate': 0.0015322588628999372, 'weight_decay': 0.00024052919166276006, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.30932517538265303
43,"{'learning_rate': 0.0007507581861296151, 'weight_decay': 0.0003510642030654168, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3104412468112245
44,"{'learning_rate': 0.0013356968072726907, 'weight_decay': 0.0005339713646707774, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.29329958545918366
45,"{'learning_rate': 0.0021196586557439855, 'weight_decay': 0.00022367527739607012, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3160375478316327
46,"{'learning_rate': 0.0027208811555397704, 'weight_decay': 0.0001915310113511812, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3137177136479592
47,"{'learning_rate': 0.0021789038557214016, 'weight_decay': 1.917822019949541e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.3267099808673469
48,"{'learning_rate': 0.00022670453379726373, 'weight_decay': 3.776472685813561e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.2587352519132653
49,"{'learning_rate': 0.002357056611588063, 'weight_decay': 1.8808656010028766e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.2998425542091837
